Grays ASSET NUMBER,YEAR OF MANUFACTURE,MAKE,MODEL,ASSET TYPE,REGO NO,SERIAL NO. / VIN,FAIR MARKET VALUE EX GST,ORDERLY LIQUIDATION VALUE EX GST
EMB0001,2020,Caterpillar,444F2,Backhoe,,LYL00564,"$200,000 ","$140,000 "
EMT0006,2006,Caterpillar,D9T,Dozer,,RJS00539,"$350,000 ","$275,000 "
EMT0007,2008,Caterpillar,D8T,Dozer,,KPJ02959,"$200,000 ","$165,000 "
EMT0009,2011,Caterpillar,D10T,Dozer,,RJG01917,"$500,000 ","$400,000 "
EMT0010,2008,Caterpillar,D9T,Dozer,,RJG02937,"$1,700,000 ","$1,200,000 "
EMT0011,2011,Caterpillar,D10T,Dozer,,RJG02938,"$750,000 ","$550,000 "
EMT0015,2017,Caterpillar,D8T,Dozer,,FMC01062,"$600,000 ","$500,000 "
EMT0016,2018,Caterpillar,D8T,Dozer,,FMC01817,"$550,000 ","$425,000 "
EMT0017,2019,Caterpillar,D10T,Dozer,,RAB00629,"$1,400,000 ","$1,100,000 "
EMT0018,2012,Caterpillar,D10T,Dozer,,RJG05066,"$600,000 ","$325,000 "
EMT0020,2012,Caterpillar,D10T,Dozer,,RJG01672,"$700,000 ","$475,000 "
EMT0022,2014,Komatsu,D65WX-16VPAT,Dozer,,KMTDD14H081515,"$200,000 ","$160,000 "
EMT0025,2022,Caterpillar,D9,Dozer,,J3D00276,"$1,550,000 ","$1,300,000 "
EMT0026,2011,Caterpillar,D9T,Dozer,,RJG02988,"$1,200,000 ","$1,000,000 "
EMT0027,2008,Caterpillar,D9T,Dozer,,RJG01688,"$1,000,000 ","$750,000 "
EMT0028,2015,Caterpillar,D9T,Dozer,,TWG00864,"$1,400,000 ","$950,000 "
EMT0029,2015,Caterpillar,D9T,Dozer,,TWG00845,"$1,400,000 ","$950,000 "
EMAD0007,2007,Komatsu,HM400-2,Dump Truck,,A11046,"$75,000 ","$60,000 "
EMAD0009,2007,Komatsu,HM400-2,Dump Truck,,A11121,"$110,000 ","$70,000 "
EMAD0010,2007,Komatsu,HM400-2,Dump Truck,,A11122,"$110,000 ","$70,000 "
EMAD0011,2008,Komatsu,HM400-2,Dump Truck,,RJG03883,"$80,000 ","$60,000 "
EMAD0012,2018,Komatsu,HM400-3,Dump Truck,,5292,"$130,000 ","$80,000 "
EMAD0013,2018,Komatsu,HM400-3,Dump Truck,,5293,"$330,000 ","$225,000 "
EMAD0014,2017,Komatsu,HM400-3,Dump Truck,,5117,"$330,000 ","$225,000 "
EMAD0015,2017,Komatsu,HM400-3,Dump Truck,,5118,"$300,000 ","$235,000 "
EMAD0016,2019,Komatsu,HM400-5,Dump Truck,,11560,"$300,000 ","$235,000 "
EMAD0017,2019,Komatsu,HM400-5,Dump Truck,,11562,"$400,000 ","$325,000 "
EMAD0018,2019,Komatsu,HM400-5,Dump Truck,,11563,"$400,000 ","$325,000 "
EMAD0019,2019,Komatsu,HM400-5,Dump Truck,,11564,"$400,000 ","$325,000 "
EMAD0020,2019,Komatsu,HM400-5,Dump Truck,,11252,"$400,000 ","$325,000 "
EMAD0021,2019,Komatsu,HM400-5,Dump Truck,,11253,"$400,000 ","$325,000 "
EMAD0022,2023,Komatsu,HM400-3,Dump Truck,,5793,"$575,000 ","$500,000 "
EMAD0023,2023,Komatsu,HM400-3,Dump Truck,,5799,"$575,000 ","$500,000 "
EMAD0024,2023,Komatsu,HM400-3,Dump Truck,,5800,"$575,000 ","$500,000 "
EMAD0026,2018,Komatsu,HM400-5,Dump Truck,,11009,"$325,000 ","$250,000 "
EMAD0027,2018,Komatsu,HM400-5,Dump Truck,,11004,"$325,000 ","$250,000 "
EMEX0004,2012,Caterpillar,314DL,Excavator,,XHR00168,"$75,000 ","$60,000 "
EMEX0006,2018,Komatsu,PC300-8,Excavator,,81556,"$240,000 ","$160,000 "
EMEX0007,2018,Komatsu,PC300-8,Excavator,,81723,"$240,000 ","$160,000 "
EMEX0008,2018,Komatsu,PC450-8,Excavator,,72171,"$340,000 ","$185,000 "
EMEX0009,2018,Komatsu,PC30MR-5,Excavator,,53433,"$45,000 ","$28,000 "
EMEX0010,2018,Komatsu,PC490-11,Excavator,,85556,"$275,000 ","$250,000 "
EMEX0012,2018,Caterpillar,336EL,Excavator,,RZA00040,"$160,000 ","$90,000 "
EMEX0014,2013,Komatsu,PC360-11,Excavator,,90755,"$320,000 ","$265,000 "
EMEX0015,2023,Caterpillar,315GC,Excavator,,02PC00262,"$260,000 ","$175,000 "
EMEX0016,2023,Komatsu,306EC,Excavator,,06W901033,"$120,000 ","$95,000 "
EMEX0017,2014,Komatsu,PC300-8,Excavator,,64008,"$140,000 ","$95,000 "
EMEX0018,2019,Komatsu,PC450-8,Excavator,,72231,"$360,000 ","$275,000 "
EMEX0019,2020,Komatsu,PC300-8,Excavator,,72231,"$195,000 ","$150,000 "
EMEX0020,2020,Komatsu,PC300-8,Excavator,,82970,"$195,000 ","$150,000 "
EMGR007,2008,Caterpillar,14M,Grader,,B9J00368,"$200,000 ","$150,000 "
EMGR009,2007,Caterpillar,140M,Grader,,B9D00320,"$180,000 ","$100,000 "
EMGR011,2009,Caterpillar,14M,Grader,,B9D01152,"$240,000 ","$165,000 "
EMGR012,2012,Caterpillar,140M,Grader,,B9D04143,"$250,000 ","$180,000 "
EMGR013,2006,Caterpillar,16H,Grader,,AT500797,"$140,000 ","$100,000 "
EMGR014,2012,Caterpillar,140M,Grader,,B9D03934,"$250,000 ","$170,000 "
EMGR015,2012,Caterpillar,16M,Grader,,R9H00172,"$450,000 ","$175,000 "
EMGR016,2015,Caterpillar,14M,Grader,,R9H01591,"$400,000 ","$265,000 "
EMRL003,2012,Caterpillar,289C2,Multi Terrain Loaders,,RTD01136,"$50,000 ","$36,000 "
EMRL001,2011,Caterpillar,CS56,Rollers (Compactors),,FCS00657,"$70,000 ","$38,000 "
EMRL006,2013,Caterpillar,CS56,Rollers (Compactors),,FCS01292,"$75,000 ","$40,000 "
EMRL007,2004,Caterpillar,CS563C,Rollers (Compactors),,A5A00444,"$45,000 ","$30,000 "
EMRL008,2022,Dynapac,CA5000PD,Rollers (Compactors),,10000313EMA032023,"$195,000 ","$145,000 "
EMRL009,2022,Dynapac,CA5000D,Rollers (Compactors),,LWW00043,"$175,000 ","$130,000 "
EMST003,2007,Hino,FM 500 6 x 4,Service Truck,1CM6H35,JHDFMFURKMJ032745,"$80,000 ","$50,000 "
EMST008,2018,Hino,FM 500 6 x 4,Service Truck,1GQ6J32,JHDFMBFRXLJ010144,"$200,000 ","$120,000 "
EMST009,2012,Hino,FM 500 6 x 4,Service Truck,1EC04J2,JHDFMBFRXK0012401,"$150,000 ","$95,000 "
EMST010,2019,Isuzu,FVZ 260 6x4,Service Truck,1GXT6Q7,JALFVZ34567000363,"$240,000 ","$160,000 "
EMST011,2012,Hino,FM 500 6 x 4,Service Truck,1GA9D20,JHDFMBFRXKM0012489,"$160,000 ","$110,000 "
EMST012,2019,Hino,8 x 4,Service Truck,1HCM226,JHDFMBJRXLK0010213,"$230,000 ","$160,000 "
EMST013,2018,Volvo,8 x 4,Service Truck,1HL4K54,YV1SF51K1J10209973,"$275,000 ","$210,000 "
EMS5003,2012,Caterpillar,226B,Skid Steers,,MYD05255,"$16,000 ","$12,000 "
EMS5005,2012,Caterpillar,226B,Skid Steers,,MYD05046,"$18,000 ","$14,000 "
EMS5006,2018,Caterpillar,226D,Skid Steers,,THRD03755,"$60,000 ","$38,000 "
EMS5007,2018,Caterpillar,226D,Skid Steers,1HA9XPB,PHRRD03756,"$55,000 ","$35,000 "
EMS5008,2021,Caterpillar,236D3,Skid Steers,,T4Z00601,"$65,000 ","$45,000 "
EMT0003,2017,JCB,531-70,Telehandler,,JCB5YSTA2HC28315,"$75,000 ","$55,000 "
EMT001,2013,Isuzu,6 x 4,Tipper Truck,1EK579,JALFVZ34P7000180,"$170,000 ","$110,000 "
EMT002,2014,Isuzu,6 x 4,Tipper Truck,1ED0058,JALFVZ34PE7001127,"$150,000 ","$90,000 "
EMAWT001,2004,Caterpillar,740A 6 x 6,Articulated Water Truck,,AXM01391,"$180,000 ","$115,000 "
