Grays ASSET NUMBER,YEAR OF MANUFACTURE,MAKE,MODEL,ASSET TYPE,REGO NO,SERIAL NO. / VIN,FAIR MARKET VALUE EX GST,ORDERLY LIQUIDATION VALUE EX GST
,,Website,,,,,,"5,500.00"
,,HP Probook 450,,,,,,"1,731.33"
,,"3 x New 40""Container Lockable",,,,,,"28,571.43"
,,Telefunken 32 Inch TV,,,,,,226.36
,,Ice Machine,,,,,,602.68
,,Adjustment for 2023 Additions not Fully Depreciated,,,,,,"31,770.16"
,,"MONITOR, HP PROBOOK, YEALIKN, WIRELESS D",,,,,,"2,542.40"
,,JC34 Inspect gear box - gears grinding,,,,,,"12,301.82"
,,"HP PROBOOK 450G8, 15.6"" LAPTOP - ANDREW",,,,,,"1,573.50"
,,HYDRO AND JAI-COR PURCHASE AND INTEGRATI,,,,,,"99,253.93"
,,HYDRO AND JAI-COR PURCHASE AND INTEGRATI,,,,,,"7,041.31"
,,MACKAY TRENCHING PURCHASE AND INTEGRATIO,,,,,,"20,776.18"
,,MACKAY TRENCHING PURCHASE AND INTEGRATIO,,,,,,"28,138.04"
,,HYDRO AND JAI-COR PURCHASE AND INTEGRATI,,,,,,"74,072.45"
,,IPHONE AND PC PURCHASE-HE,,,,,,"4,605.52"
,,DITCH WITCH JT 220 MAC1 RUBBER TRACK MOU,,,,,,"28,904.91"
,,DITCH WITCH MODEL FX50 VACUUM EXCAVATION,,,,,,"20,646.36"
,,DITCH WITCH MODEL FX50 VACUUM EXCAVATION,,,,,,"20,646.36"
,,POOLED ASSET -MCKY TRENCHING AQUISITION,,,,,,"12,903.98"
,,TELSTRA -PURCHASE NEW PHONE X 3 - HYDRO,,,,,,"2,197.00"
,,"2X IPAD PRO'S, PENCIL, KEYBOARD, CASE",,,,,,"4,155.95"
,,IPAD (9GEN) 10.2 WIFI+CELL 64GB X 20,,,,,,"18,479.00"
,,SAFE-DIG PURCHASE AND INTEGRATION,,,,,,"46,284.07"
,,Line Trimmer 4 Stroke Honda 25CC B/SHAFT UMS425ULTU1,,,,,,325.45
,,Push Movers Hand Held Blower and Trimmer,,,,,,831.80
,,Cable Tool,,,,,,"9,023.95"
,,HEV12 FTR5P Rebar Tra,,,,,,"6,468.29"
,,"HEV12 2.5"" PWRHOUSE XD/5H-12MM/DW/2",,,,,,"2,136.54"
,,JB Trenchless-JT2020 JT1720,,,,,,975.00
,,2 x new vermeer drills,,,,,,"6,100.00"
,,FWR Elite Tandem Axle Tag Trailer - 47220,,,,,,"61,750.00"
,,"RADIUS ROCK BIT PIN,HOUSING,DW SUB1220M,ROCK TOOTH 3 PCS",,,,,,"5,664.00"
,,SAMSUNG 27IN S36C CURVED MONITOR,,,,,,224.55
,,SAMSUNG 27IN S36C CURVED MONITOR,,,,,,224.55
,,HEV42 Heavy Duty Coil Pipe Trailer with one only spare wheel VIN-TRL507007,,,,,,"8,730.00"
,,HEV43 Heavy Duty Model Coil Pipe Trailer with spare tyre 6K9PLNTRLNA507006,,,,,,"8,730.00"
,,Bayer 240V Core Drill 1500W 2 Speed Hand Held 100 MM GP No: 3676689011452,,,,,,286.36
,,"Ventair Spyda White Fan With LED light 4X50""",,,,,,499.00
,,"Ventair Spyda White Fan With LED light 4X50""",,,,,,499.00
,,AEG Reciprocal Saw 18V A18RS0,,,,,,198.18
,,DRILL HAMMER C/LESS B/LESS AEG 18V A18SPDBL0,,,,,,171.86
,,DIRT DEVIL CORDLESS 22.2V VACCUM DSV22G2,,,,,,85.50
,,TOWBAR FORD RANGER 489BM9,,,,,,"1,226.36"
,,Uticor Toughpanel UTP-06TC-SE-A-PV700-SUN 24V,,,,,,"1,545.45"
,,Pit Master Habinger 1.8KW 2.0KW Generator Invertor HBG2000  VIN 2020110122,,,,,,633.15
,,Devanti Commercial Ice Maker - 1,,,,,,573.00
,,Devanti Commercial Ice Maker - 2,,,,,,573.00
,,Devanti Commercial Ice Maker - 3,,,,,,573.00
,,JB REC 15.6 LAPTOP BAG BK,,,,,,44.55
,,JB REC 15.6 LAPTOP BAG BK,,,,,,44.55
,,JB REC 15.6 LAPTOP BAG BK,,,,,,44.55
,,JB REC 15.6 LAPTOP BAG BK,,,,,,44.55
,,BONELK ELEVATE STAND BK,,,,,,88.18
,,BONELK ELEVATE STAND BK,,,,,,88.18
,,BONELK ELEVATE STAND BK,,,,,,88.18
,,BONELK ELEVATE STAND BK,,,,,,88.18
,,PROFESS DUAL MONITOR ARM BK,,,,,,124.55
,,PROFESS DUAL MONITOR ARM BK,,,,,,124.55
,,PROFESS DUAL MONITOR ARM BK,,,,,,124.55
,,PROFESS DUAL MONITOR ARM BK,,,,,,124.55
,,PROFESS SINGLE MONITOR ARM BK,,,,,,70.91
,,Generator Inverter Petrol 2Kva,,,,,,632.41
,,Air Clutch PZB W/Lube Pump 40 KGM VIN 23153803 and Coupling rubber and tape,,,,,,"3,398.21"
,,Vibratory Rammer BS30 - VIN 11772728,,,,,,"4,673.22"
,,Vibratory Rammer BS30 - VIN 11772736,,,,,,"4,673.22"
,,Vibratory Rammer BS30 - VIN 11778680,,,,,,"4,673.22"
,,Hair 7.5 Kg Top Load Washer,,,,,,499.09
,,Electrolux 7kg Sensor Dryer,,,,,,542.73
,,EUFY Security Cam2 Pro 2k 4 Pack+Homeba,,,,,,"1,090.91"
,,BAYER 2300W 180MM Handheld Diamond Core Drill BCD2300,,,,,,499.09
,,HP M24FW FHD MONITOR,,,,,,270.00
,,HP M24FW FHD MONITOR,,,,,,270.00
,,ALOGIC UNIVARSAL TWIN HD DOCK,,,,,,222.73
,,LOGITECH WLS COMBO MK345,,,,,,80.91
,,Bushranger Spartan RZ-C42 Mower VIN 19262,,,,,,"6,900.00"
,,NLA Impact Wrench - Rocky 2,,,,,,548.18
,,COMBO KIT C/LESS B/LESS MAKITA 18V 4PCE 2X5.0AH DLX4134T,,,,,,929.80
,,Byfold Ramps to Truck,,,,,,"14,270.23"
,,PLUMBOSS GLSD1 STANDARD D HANDLE,,,,,,212.73
,,JBL Quantum 350 Headset BK,,,,,,135.45
,,JBL Quantum 350 Headset BK,,,,,,135.45
,,JBL Tune FLEC TWS Earphones,,,,,,121.82
,,JBL Tune FLEX TWS Earphones,,,,,,121.82
,,"Break Out Wrenches 67mm,80mm,87mm,92mm 1",,,,,,890.00
,,"Break Out Wrenches 67mm,80mm,87mm,92mm 2",,,,,,890.00
,,"GUANTLET 4.25""",,,,,,"4,189.77"
,,Fabricate drill box,,,,,,"2,869.17"
,,BATTERY CHARGER TOOL MAKITA 18V RAPID W/4.0AH 197988-4,,,,,,253.64
,,SAW RECIP C/LESS MAKITA 18V LI SKIN DJR186Z,,,,,,223.68
,,BATTERY POWER TOOL MAKITA 18V LI 6.0AH TWIN PK 198490-0,,,,,,326.36
,,Fabricate Drill Box - Hydro,,,,,,"2,869.17"
,,"18V Brushless 1/2 Impact Wrench, 330NM Tool Only",,,,,,362.73
,,COMPRESSOR ASSY - TWIN CYL 49A9110WABCO,,,,,,"2,830.58"
,,CTM202NW3 202L Top Mount Refrigerator,,,,,,431.82
,,Vibrator Petrol 45MM 31CC 4Stroke Cemtool Motor 172181,,,,,,677.27
,,Soberlive - Mackay Depot R-181469,,,,,,"8,378.99"
,,Sober Live - Breathlyser R-181465,,,,,,"8,079.54"
,,Diagnose CP22 QU-115,,,,,,"6,394.50"
,,Harvey Norman Apple 20W USB-C Power Adapter,,,,,,391.82
,,Toolbox for HEV31 -$485,,,,,,418.86
,,HUSQVARNA 400mm 94cc Power Cut Demolition,,,,,,"2,109.09"
,,BPUNKT 50IN ULTRA HD GOOGLE TV AYB500G980,,,,,,360.91
,,REXEL OPTIMUM 100X AF SHREDDER REXOPT100X,,,,,,426.32
,,Portable Breakout System Vermeer,,,,,,"3,683.25"
,,LADDER P/FORM ALUM GORILLA,,,,,,410.23
,,BATTERY POWER TOOL,,,,,,194.12
,,SAW RECIP C/LESS MAKITA 18V LI SKIN DJR186Z,,,,,,223.68
,,Summit Ratche Axle Stand,,,,,,265.00
,,Kincrome Torque Wrench,,,,,,850.00
,,Low Profile Drain Pan on Wheels,,,,,,250.00
,,Kincrome Hydraulic Jack,,,,,,600.00
,,Rebuilt Engine with 12 months RTB Warranty,,,,,,"5,181.56"
,,"Fluted - 16""",,,,,,"5,688.80"
,,"Fluted 12""",,,,,,"5,178.04"
,,"Fluted 8""",,,,,,"1,982.43"
,,Starter Rod,,,,,,953.48
,,Collar Quickfire,,,,,,343.57
,,Adapter Quickft,,,,,,594.76
,,Adapter Quickfit,,,,,,594.76
,,Pulling Eye,,,,,,640.53
,,Adapter Quickfit,,,,,,686.28
,,JC43 - 2 X Rubber Track F00026.1,,,,,,"2,395.00"
,,BATTERY POWER TOOL MAKITA 18V 5.0AH,,,,,,126.82
,,BATTERY POWER TOOL MAKITA 18V 5.0AH,,,,,,126.82
,,MULTI TOOL CL BL MAKITA 18V STARLOCK SKIN DTM52ZX3,,,,,,282.73
,,"JC58 - Ftr5P Rebar Trans, 15 Inch Btrp 0.1% Pitch R2",,,,,,"7,115.66"
,,DJI Mini 4 Pro Fly More Combo Plus,,,,,,"1,580.91"
,,COMBO KIT C/LESS B/LESS MAKITA  DLX2283SM,,,,,,513.67
,,Fluted Reamer 500mm,,,,,,"7,528.65"
,,AR Pump 21137 (C1),,,,,,"1,259.30"
,,ELEKTRA S ( 10 AMP PLUG ) (230V) Complete,,,,,,"3,980.00"
,,Stack Plate Reamer 300mm Hard Facing,,,,,,"4,565.00"
,,Stack Plate reamer 450mm - RSP450,,,,,,"7,865.00"
,,UNIDEN 5W UHF RADIO UH755,,,,,,362.73
,,COMBO KIT CORDLESS B/LESS AEG 18V 2PCE 2X4.0AH A18X2BA142C,,,,,,344.59
,,ADAPTER-QUICKFI,,,,,,549.00
,,ADAPTER-QUICKFI,,,,,,549.00
,,JUMP STARTER KINCROME 1200CCA MULTIFUNCTION KP1408,,,,,,214.55
,,BLOWER CORDLESS AEG 18V INFL/DEFL SKIN GM18EX2-0,,,,,,102.77
,,Makita Drill Hammer C/Less Black,,,,,,203.64
,,PIPE PULLER 125,,,,,,409.85
,,PIPE PULLER 125,,,,,,409.85
,,PIPE PULLER 125,,,,,,409.85
,,EUFY HOMEBASE CAM3,,,,,,252.73
,,Makita 18V 6.0Ah Battery Twin Pack,,,,,,344.80
,,Adjustment for 2023 Additions not Fully Depreciated,,,,,,"7,676.28"
,,JC47 RDO EQUIPMENT FILTER HSG CYCL,,,,,,"5,273.22"
,,JAI-COR PURCHASE AND INTEGRATION,,,,,,"63,049.50"
,,JAI-COR PURCHASE AND INTEGRATION,,,,,,"53,574.97"
,,JAI COR - 2 X NEW PHONES,,,,,,"1,283.64"
,,10/FLEXRODF150-7 TRACEABLE RODDER 6.7MM,,,,,,909.09
,,SAFE-DIG PURCHASE AND INTEGRATION,,,,,,"12,848.62"
,,DINGO TANDEM TRAILER,,,,,,"6,000.00"
,,Proteus Mini-Cam for Locating Van,,,,,,"110,275.00"
,,JT1220 DITCH WITCH DRILL ROD 3M,,,,,,"11,863.62"
,,"MB00503-208 - Valu-DUB swivel, 7.5 ton",,,,,,"1,090.91"
,,"MB1600-14-40-BBBC - BearClaw, 4"", 5-hole DW",,,,,,524.55
,,"4"" RED DIAMOND BLADE",,,,,,943.64
,,DRDWCH2020 - JT2020 DRILL ROD,,,,,,"2,445.45"
,,"Pipe Trailer, F5 Falcon, Aurora Screen and FTR5P Sonde",,,,,,"21,500.00"
,,BE-TH180 - Standard Towing Head,,,,,,"1,030.90"
,,Grey's Earthmoving 1x 2009 ditchwitch jt2020,,,,,,"80,000.00"
,,"Receiver, Transmitter, Connect Lead, Clam & Carry  for Locating Van",,,,,,"29,247.35"
,,S.L.Y Contracting - Float Drill Rig,,,,,,"7,000.00"
,,Vermeer Australia - VERMEER MV SOLUTIONS,,,,,,"9,000.00"
,,JC56 Checked over machine and carried out repairs,,,,,,"16,387.74"
,,JB Trenchless  - Drilling Equipment,,,,,,"10,500.00"
,,HEV35 Vermeer D24 x 40III - 1VRZ200FLP1003129,,,,,,"641,799.33"
,,HEV36 Vermeer D23X30III - 1VRN2007PP1004126,,,,,,"496,830.33"
,,"VERMEER - GAS POWER PACK, TANK, MIXING SYSTEM, HOSE & PLUMBING KIT",,,,,,"74,895.75"
,,HEV40 Heavy Duty Coil Pipe Trailer with Spare Tyre VIN - 6K9PLNTRLNA507005,,,,,,"8,730.00"
,,Adjustment for 2023 Additions not Fully Depreciated,,,,,,"73,236.24"
,,Tap & Die Set Metric,,,,,,90.00
,,Steel Truck Tool Box,,,,,,"2,180.91"
,,P& E Cappipe Acquisition Tools,,,,,,"15,000.00"
,,FRANKLIN MH 5AMB-4B PC 0.9KW PUMP,,,,,,"1,059.09"
,,Stortekt Gas Storage Cage - 9 x G-Sized Cylinders With Pallet,,,,,,"3,555.00"
,,MILWAUKEE CHARGER BATTERY 18V M18,,,,,,316.36
,,MILWAUKEE BATTERY 18v 5.0AH LI-ION,,,,,,180.91
